map.total.abismal	map.total.bismark	map.total.bsmap	map.total.bwa	map.total.hisat_3n	map.total.walt	sam.err.rate.abismal	sam.err.rate.bismark	sam.err.rate.bsmap	sam.err.rate.bwa	sam.err.rate.hisat_3n	sam.err.rate.walt	bs.conv.tot.abismal	bs.conv.tot.bismark	bs.conv.tot.bsmap	bs.conv.tot.bwa	bs.conv.tot.hisat_3n	bs.conv.tot.walt	c.cov.abismal	c.cov.bismark	c.cov.bsmap	c.cov.bwa	c.cov.hisat_3n	c.cov.walt	c.depth.abismal	c.depth.bismark	c.depth.bsmap	c.depth.bwa	c.depth.hisat_3n	c.depth.walt	c.meth.mean.abismal	c.meth.mean.bismark	c.meth.mean.bsmap	c.meth.mean.bwa	c.meth.mean.hisat_3n	c.meth.mean.walt	c.meth.weigh.abismal	c.meth.weigh.bismark	c.meth.weigh.bsmap	c.meth.weigh.bwa	c.meth.weigh.hisat_3n	c.meth.weigh.walt	c.meth.frac.abismal	c.meth.frac.bismark	c.meth.frac.bsmap	c.meth.frac.bwa	c.meth.frac.hisat_3n	c.meth.frac.walt	cpg.cov.abismal	cpg.cov.bismark	cpg.cov.bsmap	cpg.cov.bwa	cpg.cov.hisat_3n	cpg.cov.walt	cpg.depth.abismal	cpg.depth.bismark	cpg.depth.bsmap	cpg.depth.bwa	cpg.depth.hisat_3n	cpg.depth.walt	cpg.meth.mean.abismal	cpg.meth.mean.bismark	cpg.meth.mean.bsmap	cpg.meth.mean.bwa	cpg.meth.mean.hisat_3n	cpg.meth.mean.walt	cpg.meth.weigh.abismal	cpg.meth.weigh.bismark	cpg.meth.weigh.bsmap	cpg.meth.weigh.bwa	cpg.meth.weigh.hisat_3n	cpg.meth.weigh.walt	cpg.meth.frac.abismal	cpg.meth.frac.bismark	cpg.meth.frac.bsmap	cpg.meth.frac.bwa	cpg.meth.frac.hisat_3n	cpg.meth.frac.walt
Meissner (hg38)	85.987	87.869	86.081	84.985	81.62	78.023	0.629	0.752	0.675	0.703	0.696	0.56	97.304	97.317	97.199	97.259	96.771	97.294	79.518	78.96	17.666	78.639	80.514	78.709	6.12423	5.95654	5.7255	6.73131	6.02421	5.97708	7.485	7.506	7.661	7.409	7.765	7.495	9.211	9.2	9.083	9.07	9.702	9.188	6.036	6.072	6.22	6.052	6.336	6.055	86.332	86.123	19.034	84.39	88.196	85.49	6.79128	6.56291	5.996	7.25547	6.6139	6.58072	78.295	78.469	78.913	77.479	78.379	77.941	76.342	76.451	78.614	77.23	76.56	76.417	84.592	84.568	84.343	83.785	84.577	84.32
Low (mm10)	91.034	91.659	88.366	72.011	80.87	75.563	0.908	1.092	0.924	0.798	1.171	0.629	99.588	99.579	99.582	99.579	98.846	99.584	66.533	65.987	50.962	65.099	67.444	65.782	6.1392	6.08238	2.90114	6.36415	6.11373	5.97971	4.321	4.344	4.857	4.294	5.142	4.351	6.533	6.542	6.567	6.406	7.232	6.537	4.299	4.319	4.748	4.275	5.089	4.319	79.566	79.049	64.314	76.988	80.316	78.623	7.0598	7.12302	3.20334	7.14602	7.28239	6.83554	75.478	75.76	75.962	74.376	75.658	75.503	75.35	74.182	74.754	76.197	73.726	75.818	82.372	82.48	80.846	81.248	82.41	82.243
Yamada (mm10)	90.152	93.924	89.309	64.471	78.292	64.674	1.836	2.258	2.019	1.647	2.578	1.487	99.292	99.178	99.288	99.394	91.276	99.277	43.625	43.089	42.59	43.109	44.174	41.335	2.23436	2.27888	2.17976	2.7119	2.53167	2.14514	4.447	4.448	4.471	4.437	5.847	4.521	6.328	6.669	6.323	5.688	13.676	6.347	4.12	4.122	4.145	4.205	5.564	4.204	52.728	52.003	51.538	51.786	52.683	50.052	2.64982	2.91213	2.58244	2.92679	3.04888	2.51288	65.752	65.77	65.766	65.43	66.097	66.374	67.486	67.957	67.592	66.662	68.609	68.239	68.842	68.821	68.773	67.931	69.183	69.392
Decato (mm10)	85.603	88.774	82.491	82.601	82.129	65.821	1.075	1.317	1.268	1.066	1.211	0.677	99.548	99.552	99.544	99.55	99.383	99.55	79.273	79.408	79.028	77.852	79.835	76.063	3.28397	3.21765	3.28047	3.36639	3.26396	3.23721	2.275	2.268	2.257	2.214	2.516	2.25	2.983	3.006	2.945	2.866	3.217	2.928	1.81	1.813	1.785	1.734	2.02	1.772	75.238	75.133	74.924	73.777	75.726	72.161	3.17433	3.14888	3.17	3.1976	3.22413	3.11749	46.279	46.381	45.73	44.93	46.358	45.374	46.868	46.968	46.314	45.605	47.174	46.101	46.224	46.369	45.421	44.47	46.301	45.011
Baubec (mm10)	74.76	76.205	73.265	71.879	64.27	44.862	1.93	2.316	2.161	1.964	2.158	1.113	99.705	99.688	99.705	99.727	99.443	99.711	82.03	80.749	68.959	81.151	82.317	77.852	4.96822	4.56151	2.85064	5.08217	4.73744	4.41342	0.684	0.68	0.706	0.678	0.96	0.701	0.991	1.036	1.001	0.9	1.275	0.959	0.156	0.162	0.256	0.15	0.393	0.176	85.385	84.631	74.136	83.544	85.805	81.767	5.71102	5.32741	3.21299	5.60497	5.57756	4.9774	9.781	9.737	9.716	9.592	9.798	9.764	10.067	10.245	10.089	9.555	10.392	9.795	3.272	3.369	4.733	3.115	3.288	3.492
Kamstra (danre11)	84.216	87.702	80.381	72.096	79.624	56.002	1.626	1.861	1.801	1.686	1.753	0.976	99.53	99.564	99.537	99.552	99.096	99.649	73.485	73.99	73.148	70.874	78.3	69.099	6.61433	6.35924	6.39944	8.30572	6.21744	4.82504	8.377	8.409	8.373	8.3	8.82	8.584	10.595	10.482	10.6	10.577	10.867	10.893	8.773	8.799	8.773	8.728	9.18	8.908	72.543	73.099	72.383	69.424	76.913	68.216	5.98102	5.68282	5.80975	7.45221	5.55022	4.44194	80.216	80.266	79.882	80.02	80.491	81.711	78.644	78.823	78.299	79.828	79.192	80.163	88.704	88.458	88.378	88.244	88.475	88.98
Skvortsova (danre11)	81.369	85.597	77.423	71.542	77.859	56.92	1.41	1.674	1.557	1.508	1.596	0.738	99.078	99.188	99.112	98.993	96.644	99.113	66.998	67.195	56.397	63.866	71.273	62.682	7.85912	7.56612	4.00146	9.27966	7.52932	6.91429	8.738	8.743	9.075	8.639	9.46	8.93	11.68	11.549	11.653	11.431	13.489	11.868	8.738	8.795	8.953	8.605	9.45	8.902	66.513	66.851	56.004	62.565	70.468	62.551	7.55889	7.20772	3.90195	8.82306	6.99163	6.66113	77.707	77.98	77.376	76.859	78.008	78.363	78.448	78.72	77.601	77.973	79.152	79.405	85.416	85.364	83.283	84.388	85.367	85.879
Lee (galgal6)	86.085	87.145	84.06	89.245	71.846	72.343	0.98	1.08	1.087	1.036	1.059	0.879	99.587	99.608	99.598	99.59	98.886	99.619	88.23	86.323	86.956	88.394	88.139	84.974	3.80235	3.60961	3.73375	5.17129	3.78574	3.57304	3.119	3.165	3.093	3.072	3.316	3.145	4.419	4.507	4.354	4.167	5.057	4.357	2.816	2.869	2.791	2.829	2.995	2.85	77.791	76.148	76.397	77.286	78.114	74.474	3.57721	3.45431	3.51326	4.68207	3.52604	3.34528	51.384	52.007	51.127	50.658	51.793	51.918	55.869	56.446	55.471	54.96	56.253	56.048	53.747	54.385	53.404	52.841	54.23	54.279
Yong (tair10)	96.541	96.509	95.972	74.712	93.203	92.477	0.258	0.327	0.293	0.226	0.463	0.203	95.793	95.807	95.805	96.257	95.464	95.884	96.153	96.157	96.099	94.577	96.867	95.916	11.8074	11.8703	11.7911	11.1372	12.3487	11.6987	6.546	6.538	6.541	6.246	6.761	6.509	8.976	8.964	8.949	8.09	9.484	8.741	5.648	5.643	5.643	5.43	5.838	5.614	96.767	96.769	96.702	95.09	97.51	96.542	13.5714	13.5607	13.566	12.3541	14.0671	13.4222	24.98	24.989	24.937	24.089	25.103	24.825	25.238	25.404	25.139	23.698	26.56	24.616	28.013	27.996	27.997	26.925	28.142	27.881
Miura-1 (hg38)	61.659	58.329	51.827	NA	NA	NA	1.555	2.943	1.991	NA	NA	NA	98.754	98.807	98.791	NA	NA	NA	10.624	9.493	10.487	NA	NA	NA	16.2214	13.8291	15.279	NA	NA	NA	7.907	7.874	8.474	NA	NA	NA	6.692	6.747	6.731	NA	NA	NA	7.208	7.28	7.884	NA	NA	NA	19.577	17.857	19.299	NA	NA	NA	22.4292	18.5517	21.021	NA	NA	NA	56.155	55.364	56.828	NA	NA	NA	42.557	43.764	43.278	NA	NA	NA	57.689	56.783	58.32	NA	NA	NA
Bian (hg38)	47.287	46.274	37.973	NA	NA	NA	2.459	3.702	3.251	NA	NA	NA	98.005	98.39	98.379	NA	NA	NA	22.441	17.814	20.958	NA	NA	NA	1.88098	1.56681	1.76401	NA	NA	NA	6.373	6.445	6.283	NA	NA	NA	7.024	6.807	6.856	NA	NA	NA	5.981	6.118	5.953	NA	NA	NA	28.323	22.65	26.432	NA	NA	NA	1.91844	1.61897	1.82948	NA	NA	NA	60.654	59.83	61.254	NA	NA	NA	55.21	55.427	56.261	NA	NA	NA	61.211	60.26	61.779	NA	NA	NA
Miura-2 (hg38)	63.521	62.93	56.033	NA	NA	NA	1.436	2.238	1.985	NA	NA	NA	98.392	98.448	98.524	NA	NA	NA	69.961	64.043	68.723	NA	NA	NA	2.35848	1.98232	2.29396	NA	NA	NA	4.674	4.708	4.66	NA	NA	NA	6.054	6.033	5.972	NA	NA	NA	3.838	3.954	3.878	NA	NA	NA	72.786	66.967	71.811	NA	NA	NA	2.48801	2.07744	2.41923	NA	NA	NA	57.925	57.879	58.006	NA	NA	NA	56.826	57.243	57.037	NA	NA	NA	59.541	59.292	59.616	NA	NA	NA
Leng (hg38)	62.542	66.942	54.618	NA	NA	NA	1.782	2.854	2.634	NA	NA	NA	96.377	95.883	95.837	NA	NA	NA	45.535	42.166	44.694	NA	NA	NA	2.76927	2.43679	2.66706	NA	NA	NA	5.496	6.677	6.718	NA	NA	NA	5.923	6.356	6.5	NA	NA	NA	4.396	5.434	5.435	NA	NA	NA	54.769	51.15	53.723	NA	NA	NA	3.53763	3.04463	3.36612	NA	NA	NA	32.02	32.088	32.837	NA	NA	NA	23.985	24.18	25.022	NA	NA	NA	30.918	30.908	31.747	NA	NA	NA
Guo (hg38)	35.858	32.274	25.887	NA	NA	NA	2.522	4.11	3.255	NA	NA	NA	97.424	97.283	97.914	NA	NA	NA	66.005	48.101	62.692	NA	NA	NA	2.6767	1.89376	2.52339	NA	NA	NA	2.567	2.778	2.185	NA	NA	NA	3.107	3.3	2.644	NA	NA	NA	1.275	1.776	1.176	NA	NA	NA	73.094	56.206	70.104	NA	NA	NA	3.14877	2.15146	2.94099	NA	NA	NA	8.255	8.482	8.016	NA	NA	NA	8.153	8.712	7.911	NA	NA	NA	4.991	6.022	5.097	NA	NA	NA
